"white_username","black_username","white_rating","black_rating","white_result","time_class","time_control","rules","rated","Event","FirstMove"
"Abdelatif_Philo","sneezingdino",2039,2025,"loss","blitz","180","chess","True","Live Chess""","e4"
"abdrelfreemalik","will2306",989,1118,"loss","rapid","1800","chess","True","Live Chess""","e4"
"09Gladiator09","gilbertoney",1065,992,"win","bullet","60","chess","True","Live Chess""","d3"
"577john","ricardokihara",1146,1116,"win","blitz","180","chess","True","Live Chess""","d4"
"Greg_Nicholson","1Corinthians13",1276,1284,"win","blitz","180","chess","True","Live Chess""","d4"
"7assoon131","ItsMuri",1272,1301,"win","bullet","60","chess","True","Live Chess""","e4"
"218Media","03921469",543,597,"win","rapid","1800","chess","True","Live Chess""","e4"
"villavilla27","abc_420",1651,1663,"loss","rapid","600","chess","True","Live Chess""","e4"
"fthomas89","88YH",703,700,"loss","rapid","600","chess","True","Live Chess""","d4"
"77jose77","Sniff_my_toe",1101,1072,"loss","blitz","180","chess","True","Live Chess""","e4"
"quest2115","AAAMASTER123",1592,1515,"win","bullet","120+1","chess","True","Live Chess""","e4"
"0551171135","centurion15",1093,1116,"win","rapid","1800","chess","True","Live Chess""","Nc3"
"Powerofmurphy","123janusz",1347,1666,"win","rapid","600","chess","True","Live Chess""","e4"
"abderrazek19","moicwill",1833,1802,"win","blitz","180","chess","True","Live Chess""","e4"
"84miro","Visionaire2019",1589,1626,"loss","blitz","180","chess","True","Live Chess""","e4"
"aabhag","Neil_Perry_10",1468,1464,"loss","rapid","3600","chess","True","Live Chess""","e4"
"1-Leon","ParitSuresh",808,742,"win","blitz","300","chess","True","Live Chess""","e4"
"2019Capsules","SuperInSaiyan",715,716,"loss","blitz","600","chess","True","Live Chess""","e4"
"aagneyageshshesh","IrizVollerei",990,856,"win","rapid","600","chess","True","Live Chess""","e4"
"Arvind1930","abdrelfreemalik",876,966,"loss","rapid","1800","chess","True","Live Chess""","e4"
"Abattoir_Aang","adichinagani",1247,1200,"win","blitz","300","chess","True","Live Chess""","e4"
"toots08","1976BRASILrecife",1593,1535,"win","rapid","600","chess","True","Live Chess""","d4"
"abbe77","Giacona",773,787,"loss","blitz","300","chess","True","Live Chess""","d4"
"4013adyPepenov","abc3141",1314,1371,"loss","blitz","300+5","chess","True","Live Chess""","Nf3"
"1Corinthians13","toni10031999",1250,1340,"loss","blitz","300","chess","True","Live Chess""","e4"
"stefan_lapadat","09Gladiator09",992,997,"win","bullet","60","chess","True","Live Chess""","e4"
"senya_odessit","AAAMASTER123",1640,1530,"win","bullet","120+1","chess","True","Live Chess""","e4"
"kimcuny","000sergei2",1576,1554,"loss","rapid","600","chess","True","Live Chess""","e4"
"GASMAN367","aaronperez062899",1384,1402,"win","rapid","1200","chess","True","Live Chess""","e4"
"Aaryanrao2010","Bchamateur",1091,1206,"loss","bullet","60","chess","True","Live Chess""","Nf3"
"aashutosh99","Zoih",1049,1054,"win","rapid","600","chess","True","Live Chess""","e4"
"haufniensis","2good4u734",2090,2201,"win","bullet","60","chess","True","Live Chess""","e4"
"Flex0901","abdo_001",1553,1544,"win","bullet","60","chess","True","Live Chess""","e4"
"werbel","4chess8mate",1438,1480,"loss","rapid","600","chess","True","Live Chess""","d4"
"NeedlessMile","18860102",1473,1471,"win","rapid","600","chess","True","Live Chess""","e4"
"khaled44455","25tadams",901,735,"win","blitz","300","chess","True","Live Chess""","Nf3"
"11Muhammad11","JPEM",1043,1115,"loss","blitz","600","chess","True","Live Chess""","e4"
"11brose","Jpunited",1221,967,"win","blitz","180+2","chess","True","Live Chess""","e4"
"8889802431","Victor8888",1558,1522,"loss","blitz","180+2","chess","True","Live Chess""","h4"
"Arturo1834","Abdullahkul20062006",1062,987,"loss","blitz","180","chess","True","Live Chess""","e4"
"1976BRASILrecife","Baiara",1478,1513,"loss","rapid","600","chess","True","Live Chess""","e4"
"3rdmove","Asger2002",733,755,"loss","bullet","60","chess","True","Live Chess""","d4"
"ahmedkhalid85","463316",1150,1198,"win","blitz","600","chess","True","Live Chess""","e4"
"3004334879","OlegUKRAINE",1000,914,"win","blitz","300","chess","True","Live Chess""","e4"
"budochild","abdo_001",1649,1617,"win","bullet","60","chess","True","Live Chess""","e4"
"merle328","1UnknownP",599,576,"win","blitz","300","chess","True","Live Chess""","Nc3"
"aaravdudechess","padrefilar",519,555,"loss","bullet","60","chess","True","Live Chess""","e4"
"2good4u734","avivgrer",2208,2186,"win","bullet","60","chess","True","Live Chess""","e4"
"Vikusy81","15_tactical_15",1703,1864,"loss","bullet","60","chess","True","Live Chess""","d4"
"p3navarro85","190l",2323,2184,"win","blitz","180","chess","True","Live Chess""","c4"
"tipsy1974","7Master_of_Chess7",968,851,"win","blitz","300","chess","True","Live Chess""","e4"
"ak_maheshwary98","1Yaromur1",1377,681,"win","blitz","180","crazyhouse","True","Live Chess - Crazyhouse""","d4"
"7modya","mustafaF22",855,1261,"loss","rapid","600","chess","True","Live Chess""","Nf3"
"fernandomario","A1iM_1988",1091,1048,"win","blitz","180+2","chess","True","Live Chess""","e4"
"AaronSB231","Niks168",997,961,"loss","blitz","300+5","chess","True","Live Chess""","d4"
"17Astros","Boulette83",1280,1279,"win","blitz","300+5","chess","True","Live Chess""","e4"
"itaufik","abderrazek19",1742,1797,"loss","blitz","180","chess","True","Live Chess""","e4"
"024yobgib","Skullsmashx",1012,981,"loss","rapid","600","chess","True","Live Chess""","e4"
"geka1905","021artinradfar021",1423,1394,"win","blitz","300","chess","True","Live Chess""","e4"
"pppppp","abdallahshoukry",1700,1780,"win","blitz","180","chess","True","Live Chess""","c4"
"jp_nagoya","abdella5",679,633,"win","blitz","180","chess","True","Live Chess""","e4"
"123ret","scorpios692",1393,1350,"win","blitz","300","chess","True","Live Chess""","d4"
"kjbest","aahana",1595,1414,"win","bullet","60","chess","True","Live Chess""","f4"
"10803","dbasile3137",884,881,"win","blitz","180","chess","True","Live Chess""","e4"
"Masterchess788","AbdoBrek",497,807,"loss","blitz","300","chess","True","Live Chess""","e4"
"6Oracle9","panamaking",1112,1086,"loss","rapid","900+10","chess","True","Live Chess""","e4"
"4chess8mate","mhmadbkdash",1487,1289,"win","rapid","600","chess","True","Live Chess""","d4"
"WillStompNoobs","2good4u734",2250,2215,"win","bullet","60","chess","True","Live Chess""","f3"
"123456789000000","BoogsGloria",1777,1810,"loss","blitz","300","chess","True","Live Chess""","d4"
"JackCohen100k","abader91",1204,1218,"win","bullet","60","chess","True","Live Chess""","e4"
"577john","peugazzi",1179,1173,"win","blitz","180","chess","True","Live Chess""","d4"
"BSLOT","aagneyageshshesh",1086,1027,"win","rapid","600","chess","True","Live Chess""","d4"
"torylib","1Corinthians13",1388,1291,"win","blitz","180","chess","True","Live Chess""","e4"
"22Yossarian22","chivorock",1740,1642,"win","blitz","300","chess","True","Live Chess""","e4"
"8amleo","josephc1924",868,797,"win","blitz","300","chess","True","Live Chess""","e4"
"095959","jatinarc",830,842,"loss","blitz","600","chess","True","Live Chess""","e4"
"18Kent","YOUSIF_MOHAMMAD",1109,1110,"loss","bullet","120+1","chess","True","Live Chess""","e4"
"1TheThinker","LYON1337",869,829,"win","blitz","300","chess","True","Live Chess""","e3"
"TheChessDude991","AaliSyed",1615,1708,"loss","bullet","60","chess","True","Live Chess""","d4"
"Arsor","18Kent",1186,1136,"win","rapid","600","chess","True","Live Chess""","d4"
"13litvin13","seamyb88",920,927,"win","blitz","300","chess","True","Live Chess""","e4"
"aadarsh-131","ArataJoker",973,1034,"loss","bullet","60+1","chess","True","Live Chess""","e4"
"1g61-0","javater",1043,1018,"win","blitz","180","chess","True","Live Chess""","e3"
"ricciuffo","abcd3210",1336,1291,"win","bullet","60+1","chess","True","Live Chess""","e4"
"madamerainbows","09Gladiator09",991,1004,"win","bullet","60","chess","True","Live Chess""","e4"
"souhbib","27k",584,613,"win","blitz","600","chess","True","Live Chess""","e4"
"whitesteve","1Corinthians13",1237,1271,"win","blitz","180","chess","True","Live Chess""","e4"
"21000","Jayvidhi",1693,1648,"loss","rapid","600","chess","True","Live Chess""","e4"
"Rayden69","Aaronchessgames",1287,1059,"win","daily","1/86400","chess","True","Let's Play!""","e4"
"aaron1198","Kakim53",858,692,"loss","rapid","900+10","chess","True","Live Chess""","e4"
"1darthvader","hotpaysan_28",1520,1553,"loss","rapid","600","chess","True","Live Chess""","e4"
"0419202","ListeningPoem",1567,1590,"loss","rapid","600","chess","True","Live Chess""","e4"
"1cowboys1","DAM1007",1355,1320,"win","rapid","600","chess","True","Live Chess""","e4"
"abderahmanebencheikh","Salimionnet",175,362,"loss","blitz","600","chess","True","Live Chess""","e3"
"insiatio","5432132",1109,1111,"loss","blitz","180","chess","True","Live Chess""","e4"
"Manal_RP","19BesiktasJK03",1019,954,"win","blitz","180","chess","True","Live Chess""","d4"
"SeanPai21","5921000229",1122,1158,"loss","bullet","60","chess","True","Live Chess""","e4"
"Aayush_mohan","AbhimanyuKoushik",1329,1709,"loss","bullet","60","chess","False","Live Chess""","e4"
"Om19691","abdo_001",1376,1476,"loss","bullet","60","chess","True","Live Chess""","d4"
"Gabriel_LXDAP","AaliSyed",1826,1636,"win","bullet","60","chess","True","Live Chess""","d4"
"18102004","Jglliebana",1897,1922,"win","blitz","180","chess","True","Live Chess""","e4"
"77jose77","jackychan1828",1037,1042,"win","blitz","180","chess","True","Live Chess""","e4"
"abdessattar2014","Travestichess",1320,1344,"loss","blitz","180+2","chess","True","Live Chess""","e4"
"AbdelrahmanEl-said95","Maro90909",1086,1252,"win","blitz","180+2","chess","True","Live Chess""","e4"
"01KURA_50DACH1","vertigo_97",1154,1064,"win","bullet","60","chess","True","Live Chess""","b3"
"Abdomohsen","ChessMK221",1674,1780,"win","blitz","300","chess","True","Live Chess""","e4"
"4ott","alexkoukou03",631,584,"win","blitz","300","chess","True","Live Chess""","d4"
"rahulgururaj","1Corinthians13",1269,1289,"win","blitz","180","chess","True","Live Chess""","e4"
"lt62009","7580952298",2090,2071,"win","blitz","180","chess","True","Live Chess""","e4"
"willcarlson19","77jose77",1092,1056,"win","blitz","180","chess","True","Live Chess""","e4"
"613vintage","OhMyG00dness",1052,1058,"win","rapid","600","chess","True","Live Chess""","c3"
"cazyLibya2020","4chess8mate",1572,1499,"win","rapid","600","chess","True","Live Chess""","d4"
"abdo1612","stasbelov79",1566,1593,"win","rapid","600","chess","True","Live Chess""","d4"
"abc_420","anujsingh21",1709,1684,"win","rapid","600","chess","True","Live Chess""","e4"
"enabus","a1act",1123,1030,"win","rapid","600","chess","True","Live Chess""","e4"
"santemar58","1WannabeGM",844,808,"win","blitz","180","chess","True","Live Chess""","e3"
"Lestergh","abdellhamid",1761,1671,"win","bullet","30","chess","True","Live Chess""","e4"
"Jeiel332","Aaravpen",483,450,"loss","bullet","60","chess","True","Live Chess""","d3"
"Demirdjian","23rdpsalm",1506,1477,"win","daily","1/259200","chess","True","WL2020R3: Team Australia vs Team Armenia - Board 76""","e4"
"1Gale1","21_Ashish",1196,1195,"loss","bullet","60","chess","True","Live Chess""","e4"
"Marcodelfino","3LAMPIAO8",1384,1433,"loss","blitz","180","chess","True","Live Chess""","e4"
"48794986230","hsksh",475,414,"win","blitz","300","chess","True","Live Chess""","e4"
"AAAMASTER123","arina987",1545,1550,"win","bullet","120+1","chess","True","Live Chess""","e4"
"CESAR-R4G","abanobgargas9777",765,841,"loss","blitz","300","chess","True","Live Chess""","e4"
"iamlers","89050",1224,800,"win","daily","1/259200","chess","True","Clash of Amateurs #1 - Round 1""","e4"
"bladox","09Gladiator09",1004,977,"win","bullet","60","chess","True","Live Chess""","e4"
"a3630","BrainMedina",1590,1537,"win","rapid","600","chess","True","Live Chess""","e4"
"namun27","Abdallah96Adel",1367,1327,"win","rapid","600","chess","True","Live Chess""","e4"
"R_rrr","10nq1a0325",537,588,"loss","bullet","60","chess","True","Live Chess""","d4"
"porthosman","0419202",1474,1437,"win","blitz","180","chess","True","Live Chess""","g3"
"Gregcarioca","aathil_ahamed",1560,1351,"win","blitz","600","chess","True","Live Chess""","f4"
"27k","DrMAN1",732,898,"loss","bullet","60","chess","True","Live Chess""","Nc3"
"aajayaa","IsmarVelic",978,976,"win","blitz","300+5","chess","True","Live Chess""","g3"
"11_N","3lMata",829,873,"loss","blitz","180","chess","True","Live Chess""","d4"
"Javarison-Lamar","abdo_001",1524,1519,"loss","bullet","60","chess","True","Live Chess""","e4"
"juanjeleste2","abdelhamed",1466,1404,"loss","blitz","180","chess","True","Live Chess""","e4"
"AAPD11","TRB23",1713,1755,"loss","rapid","600","chess","False","Live Chess""","e4"
"AdriCor","abader91",1295,1291,"loss","bullet","60","chess","True","Live Chess""","e4"
"abbastemi","MichaelKH71",1375,1431,"win","blitz","300","chess","True","Live Chess""","e4"
"pppppp","abdallahshoukry",1704,1776,"win","blitz","180","chess","True","Live Chess""","c4"
"1952topps","pcont",1799,1805,"win","blitz","300","chess","True","Live Chess""","e4"
"adityaaaaaaaa0","AbdoBrek",665,819,"loss","blitz","300","chess","True","Live Chess""","Nf3"
"Aasif_Ali","1-Leon",864,739,"win","blitz","180","chess","True","Live Chess""","e4"
"omarhayyam2","01116758108",1010,972,"win","blitz","300","chess","True","Live Chess""","e4"
"42757","neeraj_sharma_dce",1231,1243,"win","blitz","180","chess","True","Live Chess""","d4"
"aaljayr11","suzuki3656",2079,2086,"win","blitz","180","chess","True","Live Chess""","e4"
"AAAMASTER123","Chess4TheW1n",1497,1479,"win","bullet","120+1","chess","True","Live Chess""","e4"
"AaliSyed","Wezycz",1681,1583,"win","bullet","60","chess","True","Live Chess""","e4"
"ak041","7assoon131",1242,1302,"win","bullet","60","chess","True","Live Chess""","d4"
"ciclarion","1UnknownP",594,624,"loss","blitz","300","chess","True","Live Chess""","e4"
"asantephiri","7iz7",1193,1204,"loss","rapid","600","chess","True","Live Chess""","e4"
"MarcioP","abdo_001",1322,1354,"loss","bullet","60","chess","True","Live Chess""","e3"
"38King_Of_Pawns","MarikUA",1390,1438,"loss","blitz","300","chess","True","Live Chess""","e4"
"aahana","lily77777",1401,1489,"loss","bullet","60","chess","True","Live Chess""","e4"
"Maestro999ucla","aahana",1397,1412,"win","bullet","60","chess","True","Live Chess""","d4"
"willia7887","ABDELHEDI_A",1677,1677,"loss","bullet","60","chess","True","Live Chess""","e4"
"kimie-lucas","13luntman",611,731,"loss","blitz","600","chess","True","Live Chess""","e3"
"2980","pt_shahmat",1912,2204,"win","bullet","60","chess","False","Live Chess""","g3"
"Sulaiman_AM","9Madara_Uchiha9",825,1136,"loss","blitz","300+5","chess","True","Live Chess""","e4"
"MahmoudNewer","23Ioffside",1346,1293,"win","rapid","900+10","chess","True","Live Chess""","e4"
"drillinmachine","84miro",1564,1555,"win","blitz","180","chess","True","Live Chess""","e4"
"Kaiebassen","3emad",1121,1153,"loss","bullet","60","chess","True","Live Chess""","c3"
"EthansHappenings","18Kent",1242,1192,"win","rapid","600","chess","True","Live Chess""","Nc3"
"09Gladiator09","Kiranas007",1090,981,"win","bullet","60","chess","True","Live Chess""","b3"
"Aayush_mohan","AbhimanyuKoushik",1329,1709,"win","bullet","15","chess","False","Live Chess""","e3"
"7assoon131","Teldorr",1296,1325,"loss","bullet","60","chess","True","Live Chess""","e4"
"Drm39","Aashik20",903,942,"loss","bullet","60+1","chess","True","Live Chess""","d4"
"007Hawkeye","nicholaskrystynak",919,883,"win","blitz","300","chess","True","Live Chess""","e4"
"Josepkhine","Abd-alhamedyousef11",1305,1306,"win","blitz","600","chess","True","Live Chess""","d4"
"rshyam100","A1iM_1988",1033,1177,"loss","blitz","180+2","chess","True","Live Chess""","e4"
"giribabu12345","21_Ashish",1229,1238,"loss","bullet","60","chess","True","Live Chess""","e4"
"Marat29","AaliSyed",1266,1504,"loss","bullet","60","chess","True","Live Chess""","d4"
"9922212","julessignore",1216,1058,"win","blitz","180","chess","True","Live Chess""","e4"
"aaljayr11","Amilton_Junior",2093,2071,"win","blitz","180","chess","True","Live Chess""","e4"
"chudo","AaliSyed",1589,1681,"win","bullet","60","chess","True","Live Chess""","e4"
"7Seil","sonasn",1330,1348,"loss","rapid","600","chess","True","Live Chess""","e4"
"TheTime1337","7assoon131",1564,1576,"win","blitz","180","chess","True","Live Chess""","b3"
"chapy9","1UnknownP",533,536,"win","blitz","300","chess","True","Live Chess""","e4"
"Nik0404","aadi155",792,826,"loss","blitz","300","chess","True","Live Chess""","e4"
"emiliomilito","20hp1",1115,1051,"loss","blitz","180","chess","True","Live Chess""","e4"
"abdel_abdo","micailita",893,931,"win","blitz","600","chess","True","Live Chess""","e4"
"A_M_27","7amza",993,1413,"loss","blitz","300","chess","True","Live Chess""","e4"
"VR962","abdillahjunaidi",1428,1435,"loss","bullet","120+1","chess","True","Live Chess""","d4"
"2good4u734","EasyMate69",2226,2224,"loss","bullet","60","chess","True","Live Chess""","e4"
"BrownClub","40iqplayer",867,887,"win","blitz","180","chess","True","Live Chess""","e4"
"wildsec","abdo_001",1446,1453,"loss","bullet","60","chess","True","Live Chess""","e4"
"abdallahshoukry","Sr_Ben",1818,1743,"win","blitz","180","chess","True","Live Chess""","e4"
"135792468a","DoTienQuangMinh2012",1993,1686,"win","rapid","600","chess","True","Live Chess""","d4"
"abader91","charlieboycheckers",1290,1315,"loss","bullet","60","chess","True","Live Chess""","d4"
"abdallaayash","fsaneti",1411,1308,"loss","blitz","180","chess","True","Live Chess""","e4"
"2205559367","emiranda",1390,1381,"loss","blitz","300","chess","True","Live Chess""","e4"
"asciaghju","aaronacole",923,920,"loss","blitz","300+5","chess","True","Live Chess""","e4"
"Hymaniator","1southern2",1301,1251,"win","bullet","60","chess","True","Live Chess""","e4"
"malekhaddad","20hp1",1564,1082,"win","blitz","300","chess","True","Live Chess""","e4"
"42757","Stute451",1284,1281,"win","blitz","180","chess","True","Live Chess""","d4"
"Yspeed9","1rajesh12",1240,1256,"loss","blitz","180","chess","True","Live Chess""","e4"
"abdillahjunaidi","Tu1955",1566,1583,"win","bullet","120+1","chess","True","Live Chess""","e3"
"dracaufeuvmax","51fun",580,691,"win","bullet","60","chess","True","Live Chess""","e4"
"leonidaloyid","22Yossarian22",1743,1750,"loss","blitz","300","chess","True","Live Chess""","e4"
"09Gladiator09","allandd",1005,1042,"loss","bullet","60","chess","True","Live Chess""","e3"
"SandyBaggons","abdullahnasib",782,840,"loss","blitz","300","chess","True","Live Chess""","d4"
"Sarthak_d","abdrelfreemalik",1198,981,"win","rapid","1800","chess","True","Live Chess""","d4"
"KomodoBoss","24esertoprak24",2644,800,"win","bullet","60","chess","False","Live Chess""","e4"
"2ASHRAFKAMAL","wanmsw",1454,1480,"win","blitz","180+2","chess","True","Live Chess""","e4"
"VagTses","09Gladiator09",942,978,"win","bullet","60","chess","True","Live Chess""","e4"
"aadi28","hamidyalhaty",1153,1095,"win","blitz","300+5","chess","True","Live Chess""","e4"
"8888lian","rossieorjuela",674,623,"win","rapid","900+10","chess","True","Live Chess""","d4"
"joseluis1996","AAAMASTER123",1452,1503,"win","bullet","120+1","chess","True","Live Chess""","Nf3"
"1King_of_chess","eattor",1945,1959,"loss","blitz","180+2","chess","True","Live Chess""","Nf3"
"lorito42","0419202",1622,1565,"win","rapid","600","chess","True","Live Chess""","d3"
"ruben123","abdessattar2014",1417,1437,"win","blitz","180+2","chess","True","Live Chess""","d4"
"21_Ashish","Vlad_Yashin",1223,1205,"loss","bullet","60","chess","True","Live Chess""","g3"
"Leonard697s","0rigamiCrane",905,971,"loss","blitz","600","chess","True","Live Chess""","Nf3"
"marcopetito","420nico",1008,1013,"win","blitz","300","chess","True","Live Chess""","e4"
"Yakup533","51fun",772,736,"win","bullet","60","chess","True","Live Chess""","d4"
"01KURA_50DACH1","JBetha",1050,1099,"loss","bullet","60","chess","True","Live Chess""","b3"
"bahram-17","Abdullah696",395,432,"loss","blitz","180","chess","True","Live Chess""","e4"
"745H1N","blue_king_and_queen",823,999,"win","blitz","180","threecheck","True","Live Chess - Three-Check""","e4"
"abdo_001","xCYPHERx",1474,1425,"win","bullet","60","chess","True","Live Chess""","e4"
"13akandeel","Chaos_Knight_11",1460,1504,"win","rapid","900+10","chess","True","Live Chess""","e4"
"Automaton_Dragon","abdellhamid",1488,1452,"win","bullet","30","chess","True","Live Chess""","e3"
"51fun","Caniac420",599,311,"loss","bullet","60","chess","True","Live Chess""","e4"
"RadmilKv","Abdulkalam2006",1746,1690,"win","blitz","180","chess","True","Live Chess""","b3"
"AAAMASTER123","NeumannR",1498,1539,"loss","bullet","120+1","chess","True","Live Chess""","e4"
"abdellhamid","arnav2007",1585,1624,"win","bullet","30","chess","True","Live Chess""","e4"
"abdillahjunaidi","g9n99",1418,1526,"loss","bullet","120+1","chess","True","Live Chess""","e3"
"7twiwomenladyeve2","sourav131",936,873,"win","rapid","1800","chess","True","Live Chess""","d4"
"1Corinthians13","sugatasamanta",1270,1342,"loss","blitz","300","chess","True","Live Chess""","e4"
"abdallaayash","xaragxrnzz",1365,1319,"win","blitz","180","chess","True","Live Chess""","e4"
"sidarta79","Abd-alhamedyousef11",1309,1271,"win","blitz","600","chess","True","Live Chess""","e4"
"raulinho64","1UnknownP",670,641,"loss","blitz","300","chess","True","Live Chess""","d4"
"15_tactical_15","Gianniskpt",1891,2003,"loss","bullet","60","chess","True","Live Chess""","e4"
"soonboon","4ever11",1868,1840,"win","blitz","300","chess","True","Live Chess""","e4"
"A1iM_1988","gpashos",1092,1180,"loss","blitz","180+2","chess","True","Live Chess""","c4"
"Thecaptain1998","3mriXx",1035,1017,"win","bullet","120+1","chess","True","Live Chess""","d4"
"Enric1963","15_tactical_15",1677,1668,"win","blitz","180","chess","True","Live Chess""","e4"
"FlamingLegend","1ato",845,169,"win","blitz","600","chess","True","Live Chess""","h4"
"ronaktripathi","Aayush_mohan",1406,1410,"win","blitz","180","chess","True","Live Chess""","e4"
"AaravDps","Franklincastillos",1062,1062,"loss","bullet","60","chess","True","Live Chess""","e4"
"A1983Z","Crumbs1",1062,1349,"loss","daily","1/1209600","chess","True","B - Round 1""","No move found"
"1southern2","Alejoh",1402,1384,"win","bullet","60","chess","True","Live Chess""","e4"
"waterbat","456732506",1721,1470,"win","daily","1/259200","chess","True","U 1800 : Oct 6 - Board 3""","e4"
"Abdullahkul20062006","Lechu1979",977,714,"win","blitz","180","chess","True","Live Chess""","e4"
"abas37","nonokoko",899,931,"loss","blitz","300","chess","True","Live Chess""","No move found"
"mihailpatras","06frestu",1164,1201,"win","rapid","600","chess","True","Live Chess""","Nf3"
"gvanto","3emad",1299,1220,"win","bullet","60","chess","True","Live Chess""","e4"
"3emad","BigBlunder5",1202,1196,"loss","bullet","60","chess","True","Live Chess""","e4"
"fastcamo","1southern2",1385,1242,"win","bullet","60","chess","True","Live Chess""","d4"
"210892","rakeshmulik87",914,998,"loss","blitz","600","chess","True","Live Chess""","e4"
"aadi155","anchito10",866,826,"win","blitz","300","chess","True","Live Chess""","e4"
"AlexandrHegel","a14a14d",1105,1107,"win","rapid","600","chess","True","Live Chess""","Nf3"
"aadi155","usman265",850,847,"win","blitz","300","chess","True","Live Chess""","e4"
"DarynaSerhieieva","aagneyageshshesh",948,969,"win","rapid","600","chess","True","Live Chess""","e4"
"pawnsfolly","1southern2",1314,1363,"loss","bullet","60","chess","True","Live Chess""","e3"
"01061393288","smile13",1458,1462,"win","blitz","300","chess","True","Live Chess""","e4"
"Sergej564","21_Ashish",1147,1195,"loss","bullet","60","chess","True","Live Chess""","e4"
"Aaradhya6","LazMate",605,704,"loss","bullet","60","chess","True","Live Chess""","e4"
"Mateo-BOT","1WannabeGM",1333,830,"win","blitz","180","chess","True","Live Chess""","e4"
"Vaasheesh","a14a14d",969,936,"win","rapid","600","chess","True","Live Chess""","c3"
"dionyzoz","1Corinthians13",1106,1210,"loss","blitz","300","chess","True","Live Chess""","d4"
"88YH","ElSzpadlinio",709,679,"win","rapid","600","chess","True","Live Chess""","d4"
"oscaro33","Aadit_Ag",730,766,"loss","bullet","60","chess","True","Live Chess""","e4"
"Rebuteo9","745H1N",1210,1000,"win","daily","1/259200","chess","True","52nd Chess.com Thematic Tournament – Vienna Gambit (1000-1200) - Round 1""","No move found"
"15_tactical_15","brett_j",1872,1583,"win","bullet","60","chess","True","Live Chess""","e4"
"goldenj04","abdalla_sweisa",1155,1164,"loss","rapid","600","chess","True","Live Chess""","d4"
"kiort","506Airborne",1010,1029,"loss","blitz","600","chess","True","Live Chess""","f4"
"Raditura","11brose",1691,1271,"win","blitz","180+2","chess","True","Live Chess""","Nf3"
"Benshumz","1southern2",1475,1347,"win","bullet","60","chess","True","Live Chess""","e4"
"77jose77","gogacristian",1116,1098,"loss","blitz","180","chess","True","Live Chess""","e4"
"ShahPat","1Copenhagen",1589,1593,"win","blitz","300","chess","True","Live Chess""","d4"
"0551171135","joerieo",989,964,"loss","rapid","1800","chess","True","Live Chess""","e4"
"1709lmd2008","shreshtchavan",1384,766,"win","blitz","180","chess960","True","Live Chess - Chess960""","e3"
"dariush_el","4nt0r2g",1063,1099,"loss","blitz","300","chess","True","Live Chess""","d3"
"tayyabaziz","71373",1212,967,"win","rapid","1800","chess","True","Live Chess""","e4"
"abdillahjunaidi","Johnjoe2020",1478,1522,"loss","bullet","120+1","chess","True","Live Chess""","e3"
"tarheeldoc","1Sirduke",1276,1239,"loss","rapid","900+10","chess","True","Live Chess""","e4"
"1976BRASILrecife","tenieso25",1380,1387,"win","rapid","600","chess","True","Live Chess""","e4"
"trinimaraboli","1nisha2",450,462,"win","rapid","600","chess","True","Live Chess""","d4"
"Computer4-IMPOSSIBLE","Abbbbbk",2106,1411,"win","rapid","600+10","chess","True","Live Chess""","d4"
"rohan_singhh","1997fozan1997",725,694,"loss","blitz","600","chess","True","Live Chess""","d4"
"4chess8mate","GODrandome",1447,1503,"loss","rapid","600","chess","True","Live Chess""","d4"
"IonitaAlex","10nq1a0325",888,887,"win","blitz","180+2","chess","True","Live Chess""","e4"
"1cap2tain3","japedreira",608,769,"loss","daily","1/259200","chess","True","52nd Chess.com Tournament - Under 1000 - Round 1""","No move found"
"21_Ashish","Rsquare21",1173,1163,"loss","bullet","60","chess","True","Live Chess""","g3"
"Gigaset203","09Gladiator09",1039,1035,"win","bullet","60","chess","True","Live Chess""","e4"
"82kut","LadyZhanina",640,817,"loss","bullet","60","chess","True","Live Chess""","d3"
"Gleb6814","01Arsenii",1173,962,"win","blitz","420+3","chess","True","Live Chess""","e4"
"2525pc","amir_sel",1663,1832,"loss","blitz","180+2","chess","True","Live Chess""","d4"
"nizarosha","1976BRASILrecife",1079,1098,"win","blitz","300","chess","True","Live Chess""","e4"
"DenisAiRiA","1jesus-rocks",877,846,"win","rapid","600","chess","True","Live Chess""","c4"
"Abdallah96Adel","PaulinhoIstvo",1286,1281,"loss","rapid","600","chess","True","Live Chess""","e4"
"Mojo2004","AaravDps",1064,1048,"loss","rapid","600","chess","True","Live Chess""","d4"
"xibaro72","abdo_001",1623,1598,"win","bullet","60","chess","True","Live Chess""","e4"
"ChessterdayAllMyTroubles","abcdefghijk123000",712,640,"win","rapid","600","chess","True","Live Chess""","e4"
"juanc310","7assoon131",1433,1457,"win","bullet","60","chess","True","Live Chess""","d4"
"1southern2","dgras0007",1276,1206,"win","bullet","60","chess","True","Live Chess""","e4"
"Adrianna142012","88deni",507,712,"loss","rapid","600","chess","True","Live Chess""","d4"
"QuirkyDuck","976168014otrlinea",1095,932,"loss","blitz","180+2","chess","True","Live Chess""","e4"
"Macskaenlaszlo","3141516",2014,2011,"win","blitz","300","chess","True","Live Chess""","e4"
"CNSUN","0Mchess",1880,1115,"loss","rapid","600","chess","False","Live Chess""","d4"
"AaroNh5","EG_Slash",1707,1643,"win","bullet","60","chess","True","Live Chess""","e4"
